,Unnamed: 0,type,review,label,file,cleaned_review,score
0,0,test,"Once again Mr. Costner has dragged out a movie for far longer than necessary. Aside from the terrific sea rescue sequences, of which there are very few I just did not care about any of the characters. Most of us have ghosts in the closet, and Costner's character are realized early on, and then forgotten until much later, by which time I did not care. The character we should really care about is a very cocky, overconfident Ashton Kutcher. The problem is he comes off as kid who thinks he's better than anyone else around him and shows no signs of a cluttered closet. His only obstacle appears to be winning over Costner. Finally when we are well past the half way point of this stinker, Costner tells us all about Kutcher's ghosts. We are told why Kutcher is driven to be the best with no prior inkling or foreshadowing. No magic here, it was all I could do to keep from turning it off an hour in.",neg,0_2.txt,b'costner drag movi far longer necessari asid terrif sea rescu sequenc care charact ghost closet costner charact realiz earli forgotten much later time care charact realli care cocki overconfid ashton kutcher problem come kid think hes better anyon els around show sign clutter closet obstacl appear win costner final well past half way point stinker costner tell kutcher ghost told kutcher driven best prior inkl foreshadow magic could keep turn hour',0
1,1,test,"This is an example of why the majority of action films are the same. Generic and boring, there's really nothing worth watching here. A complete waste of the then barely-tapped talents of Ice-T and Ice Cube, who've each proven many times over that they are capable of acting, and acting well. Don't bother with this one, go see New Jack City, Ricochet or watch New York Undercover for Ice-T, or Boyz n the Hood, Higher Learning or Friday for Ice Cube and see the real deal. Ice-T's horribly cliched dialogue alone makes this film grate at the teeth, and I'm still wondering what the heck Bill Paxton was doing in this film? And why the heck does he always play the exact same character? From Aliens onward, every film I've seen with Bill Paxton has him playing the exact same irritating character, and at least in Aliens his character died, which made it somewhat gratifying...<br /><br />Overall, this is second-rate action trash. There are countless better films to see, and if you really want to see this one, watch Judgement Night, which is practically a carbon copy but has better acting and a better script. The only thing that made this at all worth watching was a decent hand on the camera - the cinematography was almost refreshing, which comes close to making up for the horrible film itself - but not quite. 4/10.",neg,10000_4.txt,b'exampl major action film generic bore there realli noth worth watch complet wast talent ice cube whove proven mani time capabl act act well dont bother one see new jack citi ricochet watch new york undercov boyz hood higher learn friday ice cube see real deal horribl clich dialogu alon make film grate teeth still wonder heck bill paxton film heck alway play exact charact alien onward everi film ive seen bill paxton play exact irrit charact least alien charact die made somewhat gratifi overal action trash countless better film see realli want see one watch judgement night practic carbon copi better act better script thing made worth watch decent hand camera cinematographi almost refresh come close make horribl film quit',0
2,2,test,"First of all I hate those moronic rappers, who could'nt act if they had a gun pressed against their foreheads. All they do is curse and shoot each other and acting like clich̩'e version of gangsters.<br /><br />The movie doesn't take more than five minutes to explain what is going on before we're already at the warehouse There is not a single sympathetic character in this movie, except for the homeless guy, who is also the only one with half a brain.<br /><br />Bill Paxton and William Sadler are both hill billies and Sadlers character is just as much a villain as the gangsters. I did'nt like him right from the start.<br /><br />The movie is filled with pointless violence and Walter Hills specialty: people falling through windows with glass flying everywhere. There is pretty much no plot and it is a big problem when you root for no-one. Everybody dies, except from Paxton and the homeless guy and everybody get what they deserve.<br /><br />The only two black people that can act is the homeless guy and the junkie but they're actors by profession, not annoying ugly brain dead rappers.<br /><br />Stay away from this crap and watch 48 hours 1 and 2 instead. At lest they have characters you care about, a sense of humor and nothing but real actors in the cast.",neg,10001_1.txt,b'first hate moron rapper couldnt act gun press forehead curs shoot act like version gangster movi doesnt take five minut explain go alreadi warehous singl sympathet charact movi except homeless guy also one half brain bill paxton william sadler hill billi sadler charact much villain gangster didnt like right start movi fill pointless violenc walter hill peopl fall window glass fli everywher pretti much plot big problem root everybodi die except paxton homeless guy everybodi get deserv two black peopl act homeless guy junki theyr actor profess annoy ugli brain dead rapper stay away crap watch hour instead lest charact care sens humor noth real actor cast',0
3,3,test,"Not even the Beatles could write songs everyone liked, and although Walter Hill is no mop-top he's second to none when it comes to thought provoking action movies. The nineties came and social platforms were changing in music and film, the emergence of the Rapper turned movie star was in full swing, the acting took a back seat to each man's overpowering regional accent and transparent acting. This was one of the many ice-t movies i saw as a kid and loved, only to watch them later and cringe. Bill Paxton and William Sadler are firemen with basic lives until a burning building tenant about to go up in flames hands over a map with gold implications. I hand it to Walter for quickly and neatly setting up the main characters and location. But i fault everyone involved for turning out Lame-o performances. Ice-t and cube must have been red hot at this time, and while I've enjoyed both their careers as rappers, in my opinion they fell flat in this movie. It's about ninety minutes of one guy ridiculously turning his back on the other guy to the point you find yourself locked in multiple states of disbelief. Now this is a movie, its not a documentary so i wont waste my time recounting all the stupid plot twists in this movie, but there were many, and they led nowhere. I got the feeling watching this that everyone on set was sord of confused and just playing things off the cuff. There are two things i still enjoy about it, one involves a scene with a needle and the other is Sadler's huge 45 pistol. Bottom line this movie is like domino's pizza. Yeah ill eat it if I'm hungry and i don't feel like cooking, But I'm well aware it tastes like crap. 3 stars, meh.",neg,10002_3.txt,b'even beatl could write song everyon like although walter hill hes second none come thought provok action movi nineti came social platform chang music film emerg rapper turn movi star full swing act took back seat man overpow region accent transpar act one mani movi saw kid love watch later cring bill paxton william sadler firemen basic live burn build tenant flame hand map gold implic hand walter quick neat set main charact locat fault everyon involv turn perform cube must red hot time ive enjoy career rapper opinion fell flat movi nineti minut one guy ridicul turn back guy point find lock multipl state disbelief movi documentari wont wast time recount stupid plot twist movi mani led nowher got feel watch everyon set sord confus play thing cuff two thing still enjoy one involv scene needl sadler huge pistol bottom line movi like domino pizza yeah ill eat hungri dont feel like cook well awar tast like crap star meh',0
4,4,test,"Brass pictures (movies is not a fitting word for them) really are somewhat brassy. Their alluring visual qualities are reminiscent of expensive high class TV commercials. But unfortunately Brass pictures are feature films with the pretense of wanting to entertain viewers for over two hours! In this they fail miserably, their undeniable, but rather soft and flabby than steamy, erotic qualities non withstanding.<br /><br />Senso '45 is a remake of a film by Luchino Visconti with the same title and Alida Valli and Farley Granger in the lead. The original tells a story of senseless love and lust in and around Venice during the Italian wars of independence. Brass moved the action from the 19th into the 20th century, 1945 to be exact, so there are Mussolini murals, men in black shirts, German uniforms or the tattered garb of the partisans. But it is just window dressing, the historic context is completely negligible.<br /><br />Anna Galiena plays the attractive aristocratic woman who falls for the amoral SS guy who always puts on too much lipstick. She is an attractive, versatile, well trained Italian actress and clearly above the material. Her wide range of facial expressions (signalling boredom, loathing, delight, fear, hate ... and ecstasy) are the best reason to watch this picture and worth two stars. She endures this basically trashy stuff with an astonishing amount of dignity. I wish some really good parts come along for her. She really deserves it.",neg,10003_3.txt,b'brass pictur movi fit word realli somewhat brassi allur visual qualiti reminisc expens high class commerci unfortun brass pictur featur film pretens want entertain viewer two hour fail miser undeni rather soft flabbi steami erot qualiti non withstand senso remak film luchino visconti titl alida valli farley granger lead origin tell stori senseless love lust around venic italian war independ brass move action centuri exact mussolini mural men black shirt german uniform tatter garb partisan window dress histor context complet neglig anna galiena play attract aristocrat woman fall amor guy alway put much lipstick attract versatil well train italian actress clear materi wide rang facial express signal boredom loath delight fear hate ecstasi best reason watch pictur worth two star endur basic trashi stuff astonish amount digniti wish realli good part come along realli deserv',0
5,5,test,"A funny thing happened to me while watching ""Mosquito"": on the one hand, the hero is a deaf-mute and the director is totally unable to make us understand why he does what he does (mutilating mannequins...er, excuse me, corpses) through his images. On the other hand, the English version at least is very badly dubbed. So I found myself wishing there had been both more AND less dialogue at the same time! This film is stupid (funny how this guy has access to every graveyard and mortuary in his town) and lurid (where would we be in a 70s exploitationer without our gratuitous lesbian scene?). Not to mention the ""romantic"" aspect (oh, how sweet!)...Miss it. (*)",neg,10004_2.txt,b'funni thing happen watch one hand hero director total unabl make understand mutil mannequin excus corps imag hand english version least bad dub found wish less dialogu time film stupid funni guy access everi graveyard mortuari town lurid would exploitation without gratuit lesbian scene mention romant aspect sweet miss',0
6,6,test,"This German horror film has to be one of the weirdest I have seen.<br /><br />I was not aware of any connection between child abuse and vampirism, but this is supposed based upon a true character.<br /><br />Our hero is deaf and mute as a result of repeated beatings at the hands of his father. he also has a doll fetish, but I cannot figure out where that came from. His co-workers find out and tease him terribly.<br /><br />During the day a mild-manner accountant, and at night he breaks into cemeteries and funeral homes and drinks the blood of dead girls. They are all attractive, of course, else we wouldn't care about the fact that he usually tears their clothing down to the waist. He graduates eventually to actually killing, and that is what gets him caught.<br /><br />Like I said, a very strange movie that is dark and very slow as Werner Pochath never talks and just spends his time drinking blood.",neg,10005_2.txt,b'german horror film one weirdest seen awar connect child abus vampir suppos base upon true charact hero deaf mute result repeat beat hand father also doll fetish cannot figur came find teas terribl day account night break cemeteri funer home drink blood dead girl attract cours els wouldnt care fact usual tear cloth waist graduat eventu actual kill get caught like said strang movi dark slow werner pochath never talk spend time drink blood',0
7,7,test,"Being a long-time fan of Japanese film, I expected more than this. I can't really be bothered to write to much, as this movie is just so poor. The story might be the cutest romantic little something ever, pity I couldn't stand the awful acting, the mess they called pacing, and the standard ""quirky"" Japanese story. If you've noticed how many Japanese movies use characters, plots and twists that seem too ""different"", forcedly so, then steer clear of this movie. Seriously, a 12-year old could have told you how this movie was going to move along, and that's not a good thing in my book.<br /><br />Fans of ""Beat"" Takeshi: his part in this movie is not really more than a cameo, and unless you're a rabid fan, you don't need to suffer through this waste of film.<br /><br />2/10",neg,10006_2.txt,b'fan japanes film expect cant realli bother write much movi poor stori might cutest romant littl someth ever piti couldnt stand aw act mess call pace standard quirki japanes stori youv notic mani japanes movi use charact plot twist seem differ forc steer clear movi serious old could told movi go move along that good thing book fan beat part movi realli cameo unless your rabid fan dont need suffer wast film',0
8,8,test,"""Tokyo Eyes"" tells of a 17 year old Japanese girl who falls in like with a man being hunted by her big bro who is a cop. This lame flick is about 50% filler and 50% talk, talk, and more talk. You'll get to see the less than stellar cast of three as they talk on the bus, talk and play video games, talk and get a haircut, talk and walk and walk and talk, talk on cell phones, hang out and talk, etc. as you read subtitles waiting for something to happen. The thin wisp of a story is not sufficient to support a film with low end production value, a meager cast, and no action, no romance, no sex or nudity, no heavy drama...just incessant yadayadayada'ing. (C-)",neg,10007_4.txt,b'tokyo eye tell year old japanes girl fall like man hunt big bro cop lame flick filler talk talk talk youll get see less stellar cast three talk bus talk play video game talk get haircut talk walk walk talk talk cell phone hang talk etc read subtitl wait someth happen thin wisp stori suffici support film low end product valu meager cast action romanc sex nuditi heavi drama incess yadayadayada',0
9,9,test,"Wealthy horse ranchers in Buenos Aires have a long-standing no-trading policy with the Crawfords of Manhattan, but what happens when the mustachioed Latin son falls for a certain Crawford with bright eyes, blonde hair, and some perky moves on the dance floor? 20th Century-Fox musical has a glossy veneer yet seems a bit tatty around the edges. It is very heavy on the frenetic, gymnastic-like dancing, exceedingly thin on story. Betty Grable (an eleventh hour replacement for Alice Faye) gives it a boost, even though she's paired with leaden Don Ameche (in tan make-up and slick hair). Also good: Charlotte Greenwood as Betty's pithy aunt, a limousine driver who's constantly asleep on the job, and Carmen Miranda playing herself (who else?). The stock shots of Argentina far outclass the action filmed on the Fox backlot, and some of the supporting performances are quite awful. By the time of the big horserace finale, most viewers will have had enough. *1/2 from ****",neg,10008_4.txt,b'wealthi hors rancher bueno air polici crawford manhattan happen mustachio latin son fall certain crawford bright eye blond hair perki move danc floor music glossi veneer yet seem bit tatti around edg heavi frenet danc exceed thin stori betti grabl eleventh hour replac alic fay give boost even though shes pair leaden amech tan slick hair also charlott greenwood betti pithi aunt limousin driver whos constant asleep job carmen miranda play els stock shot argentina far outclass action film fox backlot support perform quit aw time big horserac final viewer enough',0
